"CLOUD_COVER";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"index";"SATELLITE";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"WRS_PATH";"WRS_ROW";"year";"Date";"index_type"
6;4,524;3,076;3,318;0,532923559090761;"LANDSAT_7";53,766232;38,201431;223;66;2011;2011-08-15;"NDVI TEI 567027-C"
1;4,598;3,118;3,379;0,481445323364584;"LANDSAT_7";60,603497;34,480949;223;66;2011;2011-08-31;"NDVI TEI 567027-C"
0;4,151;2,823;3,043;0,450245839509432;"LANDSAT_7";69,571518;30,666859;223;66;2011;2011-09-16;"NDVI TEI 567027-C"
10;5,661;4,277;3,709;0,798115427427552;"LANDSAT_7";120,671181;29,622128;223;66;2011;2011-12-05;"NDVI TEI 567027-C"
4;4,584;3,278;3,205;0,791908795521987;"LANDSAT_7";51,975002;36,724876;223;66;2012;2012-04-27;"NDVI TEI 567027-C"
12;4,839;3,425;3,419;0,766641810418934;"LANDSAT_7";46,013477;39,332478;223;66;2012;2012-05-13;"NDVI TEI 567027-C"
2;4,533;3,39;3,009;0,77819496313062;"LANDSAT_7";42,664177;41,643658;223;66;2012;2012-05-29;"NDVI TEI 567027-C"
0;4,679;3,261;3,355;0,650557446135727;"LANDSAT_7";49,030003;40,489475;223;66;2012;2012-08-01;"NDVI TEI 567027-C"
0;4,312;2,999;3,098;0,596446598966398;"LANDSAT_7";54,419735;37,244377;223;66;2012;2012-08-17;"NDVI TEI 567027-C"
0;4,669;3,159;3,438;0,377014347762421;"LANDSAT_7";61,558353;33,374435;223;66;2012;2012-09-02;"NDVI TEI 567027-C"
0;4,213;3,165;2,78;0,665866566241102;"LANDSAT_7";45,532539;42,290848;223;66;2013;2013-07-19;"NDVI TEI 567027-C"
0;4,191;2,844;3,078;0,601140931687568;"LANDSAT_7";49,789341;39,948769;223;66;2013;2013-08-04;"NDVI TEI 567027-C"
2;4,381;2,839;3,337;0,579565160544349;"LANDSAT_7";55,468014;36,562149;223;66;2013;2013-08-20;"NDVI TEI 567027-C"
5;4,453;3,202;3,095;0,707552291144699;"LANDSAT_7";110,693207;25,71962;223;66;2013;2013-11-08;"NDVI TEI 567027-C"
11;4,423;2,629;3,557;0,743199349991497;"LANDSAT_7";56,664989;34,507439;223;66;2014;2014-04-17;"NDVI TEI 567027-C"
14;5,883;3,319;4,857;0,688456603933028;"LANDSAT_7";43,754463;39,622849;223;66;2014;2014-05-19;"NDVI TEI 567027-C"
0;6,355;3,004;5,6;0,756522876529429;"LANDSAT_7";41,301769;41,762009;223;66;2014;2014-06-04;"NDVI TEI 567027-C"
0;5,137;3,223;4;0,68615746681619;"LANDSAT_7";42,605701;42,943062;223;66;2014;2014-07-06;"NDVI TEI 567027-C"
2;4,027;2,929;2,764;0,633393813192125;"LANDSAT_7";45,667053;41,580891;223;66;2014;2014-07-22;"NDVI TEI 567027-C"
5;4,55;3,13;3,302;0,589218094861752;"LANDSAT_7";50,128456;38,985931;223;66;2014;2014-08-07;"NDVI TEI 567027-C"
3;6,615;2,756;6,014;0,54374894408053;"LANDSAT_7";56,111359;35,451981;223;66;2014;2014-08-23;"NDVI TEI 567027-C"
0;4,12;3,114;2,697;0,576839649131492;"LANDSAT_7";64,044136;31,500839;223;66;2014;2014-09-08;"NDVI TEI 567027-C"
8;4,398;3,298;2,909;0,677011133532144;"LANDSAT_7";74,456337;27,814846;223;66;2014;2014-09-24;"NDVI TEI 567027-C"
0;6,383;4,495;4,532;0,75879546054984;"LANDSAT_7";87,403427;25,261955;223;66;2014;2014-10-10;"NDVI TEI 567027-C"
4;5,03;3,759;3,342;0,788052600371017;"LANDSAT_7";121,025208;31,374847;223;66;2014;2014-12-29;"NDVI TEI 567027-C"
1;6,06;3,368;5,038;0,795836662747063;"LANDSAT_7";109,461983;32,196991;223;66;2015;2015-01-30;"NDVI TEI 567027-C"
